variety,quantity,price,subtotal,orderedAt
アリエス,10,520,5200,2026-06-06T18:52:43.401270
アヴニール,5,470,2350,2026-06-06T18:52:43.997383
ジュミリア,10,620,6200,2026-06-06T18:52:44.195552
ブロッサムピンク,3,450,1350,2026-06-06T18:52:44.395734
リバーデール,10,650,6500,2026-06-06T20:10:11.841207
ストロベリーワルツ,10,610,6100,2026-06-06T20:10:12.443978
はるか,58,680,39440,2026-06-06T20:10:12.643567
リメンブランス,33,540,17820,2026-06-06T20:10:12.746428
ジュミリア,2,620,1240,2026-06-06T20:10:12.941236
サムライ,8,690,5520,2026-06-06T20:10:13.045689
アリエス,49,520,25480,2026-06-06T20:10:13.242008
カタリナ,3,490,1470,2026-06-06T20:10:13.342182
ハニーレモン,39,440,17160,2026-06-06T20:10:13.442950
コンクサーレ,31,560,17360,2026-06-06T20:10:13.548370
オールフォーキュートホワイト,4,450,1800,2026-06-06T20:10:13.642150
フェアリーキッスホワイト,7,510,3570,2026-06-06T20:10:13.744792
シュナーベル,16,500,8000,2026-06-06T20:10:13.843444
テディベア,28,540,15120,2026-06-06T20:10:13.943328
スイートアバランチェ,17,700,11900,2026-06-06T20:10:14.143367
ファンファーレ,2,460,920,2026-06-06T20:10:14.243494
アマダ,20,590,11800,2026-06-06T20:10:14.345597
レッドエレガンス,15,560,8400,2026-06-06T20:10:14.446300
アバランチェ,1,700,700,2026-06-06T20:10:14.546404
エクレール,6,680,4080,2026-06-06T20:10:14.895789
リュイソ,2,490,980,2026-06-06T20:10:14.992083
キャラメルアンティーク,8,670,5360,2026-06-06T20:10:15.194141
アプリコットファンデーション,4,550,2200,2026-06-06T20:10:15.292119
カルピディーム,10,620,6200,2026-06-06T20:10:15.300696
ピーチアバランチェ,4,640,2560,2026-06-06T20:10:15.341230
